__time,/fmu/in/actuator_motors/control[0],/fmu/in/actuator_motors/control[10],/fmu/in/actuator_motors/control[11],/fmu/in/actuator_motors/control[1],/fmu/in/actuator_motors/control[2],/fmu/in/actuator_motors/control[3],/fmu/in/actuator_motors/control[4],/fmu/in/actuator_motors/control[5],/fmu/in/actuator_motors/control[6],/fmu/in/actuator_motors/control[7],/fmu/in/actuator_motors/control[8],/fmu/in/actuator_motors/control[9],/fmu/in/actuator_motors/reversible_flags,/fmu/in/actuator_motors/timestamp,/fmu/in/actuator_motors/timestamp_sample,/fmu/in/actuator_servos/control[0],/fmu/in/actuator_servos/control[1],/fmu/in/actuator_servos/control[2],/fmu/in/actuator_servos/control[3],/fmu/in/actuator_servos/control[4],/fmu/in/actuator_servos/control[5],/fmu/in/actuator_servos/control[6],/fmu/in/actuator_servos/control[7],/fmu/in/actuator_servos/timestamp,/fmu/in/actuator_servos/timestamp_sample,/fmu/out/vehicle_attitude/delta_q_reset[0],/fmu/out/vehicle_attitude/delta_q_reset[1],/fmu/out/vehicle_attitude/delta_q_reset[2],/fmu/out/vehicle_attitude/delta_q_reset[3],/fmu/out/vehicle_attitude/q[0],/fmu/out/vehicle_attitude/q[1],/fmu/out/vehicle_attitude/q[2],/fmu/out/vehicle_attitude/q[3],/fmu/out/vehicle_attitude/quat_reset_counter,/fmu/out/vehicle_attitude/timestamp,/fmu/out/vehicle_attitude/timestamp_sample
1745491932.714265,0.006977156,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932714185.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.724021,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990384758,0.045146845,-0.026286867,0.128097013,10.000000000,1745491932722703.000000000,1745491932722531.000000000
1745491932.724177,,,,,,,,,,,,,,,,0.040538419,-0.052810159,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932724056.000000000,0.000000000,,,,,,,,,,,
1745491932.724209,0.007471907,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932724135.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.733968,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990382075,0.045144927,-0.026292881,0.128117204,10.000000000,1745491932732709.000000000,1745491932732533.000000000
1745491932.734193,,,,,,,,,,,,,,,,0.040546779,-0.052805942,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932734045.000000000,0.000000000,,,,,,,,,,,
1745491932.734263,0.007965910,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932734153.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.743977,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990386486,0.045102328,-0.026291771,0.128098711,10.000000000,1745491932742710.000000000,1745491932742536.000000000
1745491932.744192,,,,,,,,,,,,,,,,0.040537495,-0.052752946,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932744059.000000000,0.000000000,,,,,,,,,,,
1745491932.744255,0.008459117,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932744152.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.754071,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990387022,0.045073636,-0.026295785,0.128103778,10.000000000,1745491932752717.000000000,1745491932752539.000000000
1745491932.754311,,,,,,,,,,,,,,,,0.040538192,-0.052715767,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932754135.000000000,0.000000000,,,,,,,,,,,
1745491932.754359,0.008951479,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932754261.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.764003,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990386784,0.045097657,-0.026276145,0.128100723,10.000000000,1745491932762722.000000000,1745491932762545.000000000
1745491932.764190,,,,,,,,,,,,,,,,0.040517118,-0.052749421,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932764047.000000000,0.000000000,,,,,,,,,,,
1745491932.764440,0.009442945,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932764151.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.774126,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990386069,0.045110136,-0.026260551,0.128105596,10.000000000,1745491932772720.000000000,1745491932772544.000000000
1745491932.774310,0.009933467,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932774192.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.774355,,,,,,,,,,,,,,,,0.040499706,-0.052767504,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932774125.000000000,0.000000000,,,,,,,,,,,
1745491932.783907,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990385473,0.045107454,-0.026250841,0.128113329,10.000000000,1745491932782720.000000000,1745491932782547.000000000
1745491932.783998,0.010422995,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932783936.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.784008,,,,,,,,,,,,,,,,0.040487424,-0.052765336,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932783895.000000000,0.000000000,,,,,,,,,,,
1745491932.795898,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990386188,0.045112334,-0.026271991,0.128101110,10.000000000,1745491932792765.000000000,1745491932792593.000000000
1745491932.796028,,,,,,,,,,,,,,,,0.040514264,-0.052768655,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932795914.000000000,0.000000000,,,,,,,,,,,
1745491932.796047,0.010911481,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932795988.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.803881,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990385950,0.045158077,-0.026261115,0.128089473,10.000000000,1745491932802807.000000000,1745491932802595.000000000
1745491932.804020,,,,,,,,,,,,,,,,0.040507320,-0.052828778,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932803899.000000000,0.000000000,,,,,,,,,,,
